Id,Title,Summary
https://www.wantedly.com/projects/1244937,何かしらの開発経験があればOK！Go言語に挑戦するフリーランスエンジニア,【 概要 】Go言語によるシステム開発｜フルリモート可能 【 依頼内容 】 ・開発内容：ご本人のスキルによりポジションが変わるため依頼時に説明 例：Go言語によるブロックチェーン開発Pj ・依頼工程：要件定義/基本設計/詳細設計/...
https://www.wantedly.com/projects/307941,累計契約送信件数500万件以上！クラウドサインのGoエンジニアを募集,私たちは電子契約サービス「クラウドサイン」の開発を通じて、以下の理念の実現のために技術的な課題の解決に取り組んでいます。 ・専門家をもっと身近に ・社会の「ふつう」を再定義して、世の中をもっとシンプルに ・我々は、挑戦者で有り続ける...
https://www.wantedly.com/projects/1265891,大手総合デジタルマーケティング企業｜コーポレートサイト開発のおしごと！,デジタルマーケティングを牽引する世界最大規模の総合印刷会社のコーポレートサイトや関連サイトを構築していただけるフロントエンドエンジニアを募集中◎ 取引先にはメーカー、流通、自動車、保険、不動産、金融など多岐に渡る業界の大手企業がズラ...
https://www.wantedly.com/projects/1174062,医療ベンチャーで自社SaaSの新機能開発に携わりたい方！Goエンジニア募集,PHPで作られた既存サービスをGo言語へとリプレイスを進めつつ、新規プロダクトや新規機能もGo言語での開発も進めております。 【仕事内容】 ・PHPで開発された既存サービスをGo言語へリプレイス＆新機能開発を行っていただきます ■...
https://www.wantedly.com/projects/1313724,Golangに興味があって自社プロダクト作りに協力してくれる方を募集！,【募集概要】 当社では現在、教育系自社プロダクトの開発を行っています。今回の募集では、その自社プロダクトで使用する、初級者向けの各種技術教材を執筆して頂ける方を募集しています。 週20時間ほど稼働してくれる方を探しています。稼働す...
https://www.wantedly.com/projects/1170523,ファッション業界に革新的な接客体験を創造するバックエンドエンジニア募集！,＜チームについて＞ アパレル販売スタッフと顧客をつなげるデジタル接客アプリ「FAANS」のバックエンドの設計、実装、運用を行うチームです。 FAANSはアパレル販売スタッフの業務効率を最大化させ、オンラインとリアルの垣根を越え、服を求...
https://www.wantedly.com/projects/881803,マイクロサービスアーキテクチャに興味があるバックエンドエンジニア募集中！,仕事内容は、当社サービスのバックエンド開発になります。 当社はユーザーの仕事選びに寄り添うサービスを複数開発・運用しています。サービスの新規開発、及び既存サービスの保守運用などの中で、得意領域を生かして一部または全部をご担当いただき...
https://www.wantedly.com/projects/1171786,エンベデッドファイナンスAPIで保証を変える!バックエンドエンジニア求む!,□ウェブアプリケーション開発 1.開発関連: 実装・テストコード追加・レビュー・検証・リリース、などプロダクト開発に必要なことを横断的に行っていただきます 2.仕様検討: PdMとの協働など □開発環境の魅力 toC・toB両方の側...
https://www.wantedly.com/projects/1145872,トヨタグループが提供するMaaSプラットフォームのバックエンドエンジニア,【my route開発グループについて】 my route開発グループでは、グループ会社であるトヨタファイナンシャルサービス株式会社の事業メンバーと共に、my routeの開発・運用に取り組んでおります。現在はシステムの安定化を図りな...
https://www.wantedly.com/projects/1311350,チームで作り上げる！PHPを使った自社サービスのシステム開発メンバー大募集,＜ フルタイム＆フルフレックスで働きやすさを追求したシステムエンジニアポジション ＞ 弊社のWeb系SEとして以下プロジェクトへご参画いただきます。 【募集ポジション】 自社サービス向けシステム開発（PHP） 【このお仕事の働き...
https://www.wantedly.com/projects/1274156,CTO直下！裁量を持って動画制作プロセスのDX化を担う、AIエンジニア募集,Wangetでは、サービスのクオリティのさらなる向上のため、動画制作プロセスのDX化を進めています。制作フローのDX化にあたり、そのコアとなるAIエンジン開発に向けてCTO直下でプロジェクト推進を担うAIエンジニアを募集します。 ▼...
https://www.wantedly.com/projects/1101933,Soulbound Tokenに興味のあるバックエンドエンジニアを募集,SBT（Soulbound Token）に関するプロダクトの新規開発・運用・保守を行なっていただきます。 当社では譲渡不可のNFTとされるSBT及び、これに関するプロダクトを展開していくためのPoCを進めています。 このSBTに関す...
https://www.wantedly.com/projects/1339688,ローソンアプリをgolangで開発するサーバーサイドエンジニアを募集,ローソンが提供する「ローソンアプリ」のバックエンド開発を担っていただきます。 【必須スキル・経験】 ・Webアプリケーション開発実務経験3年以上 ・RDB(MySQL)を利用した開発経験3年以上 ...
https://www.wantedly.com/projects/1115815,音楽プロダクトでアーティストを支える Goエンジニア募集！,音楽ディストリビューションサービス、『TuneCore Japan』のバックエンド（ Go、Perl ）の開発を行います。 https://www.tunecore.co.jp ＜チーム構成＞ プロダクト開発チーム 14名 （ GM...
https://www.wantedly.com/projects/1338875,マーケ領域における技術的課題 を解決するバックエンドエンジニア募集！,スキルマーケット「ココナラ」を拡大させることを目的とし、マーケティング領域でのプロダクト開発を担っていただけるエンジニアの方を募集しています。 ■この仕事の魅力/やりがい ・関わった施策の数値結果が可視化されているため、仕事に対する...
https://www.wantedly.com/projects/1292019,プロダクト×チーム×スキルを大切にする環境で活躍したいエンジニア募集！,当社で運営している自社サービス「Wedding Park（ウエディングパーク）」の開発をお任せするエンジニアを募集しています。 領域を限定せずにチャレンジできる環境ですが、ご経験やスキル、ご意向などをお伺いしながら配属チームを決定いた...
https://www.wantedly.com/projects/1232051,メタバースの新しい技術基盤を構築するサーバーサイドエンジニア募集,ambrは、仮想世界及びバーチャルプロダクトを創造する会社です。 バーチャルの進展は通信技術やハードウェアの進化に伴う不可逆な変化です。 その中で、バーチャルならではの体験／プロダクトつくりの技術を持つ企業はまだほとんどありません。 ...
https://www.wantedly.com/projects/765997,Go/k8sを使ったメッセージング管理サービスを開発するエンジニア募集！,"弊社のメッセージ管理ソリューションであるDialogOneの開発メンバーを募集しています。 【業務内容】 ・GKEやPubSubなどを活用した大規模トラフィック処理を実現するアーキテクチャ設計と実装 ・Golang, gPRCなどを..."
https://www.wantedly.com/projects/1340709,柔軟な働き方が可能！東大発AIスタートアップでソフトウェアエンジニア募集！,＃副業OK ＃業務委託OK ＃システム開発 ＃ソフトウエアエンジニア ＃ソフトウェア開発 ＃機械学習 ＃画像解析 ＃深層学習 ＃AI ＃自社プロダクト ＃ヒューマンセンシング ＃TypeScript ＃Python ＃東大発スタート...
https://www.wantedly.com/projects/1232576,Reactでの自社プロダクト開発をお任せ！フロントエンドエンジニア,《急成長アドテクベンチャーのフロントエンドエンジニア》 アプリに特化した広告配信プラットフォーム「Circuit X」のフロントエンドエンジニアを募集します。ユーザー視点でより使いやすくなるような管理画面のUI／UX改修をお任せします...
https://www.wantedly.com/projects/1226647,Golang/GraphQL 複業スタート！ソフトウェアエンジニア募集！,■募集する背景■ 事業売上が昨対比300%以上と拡大していく過程でさらなる成長を目指しており、プロダクトのグロース開発やその周辺の開発を進めていくにあたり、バックエンド領域においてリードしていただくソフトウェアエンジニアが僕たちには必...
